1:11:30 | (2ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/css/topBar.css
1:11:48 | (2ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/index.html
1:11:48 | (1ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/js/searchIngredient.js
1:11:48 | (0ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/js/searchRecipes.js
1:11:48 | (3ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/js/topBar.js
1:11:48 | (2ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/searchRecipes.html
1:11:48 | (5ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/searchRecipes.html
1:11:48 | (3ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/topBar.html
1:11:48 | (1ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/css/searchRecipe.css
1:11:48 | (5ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/css/searchRecipe.css
1:11:48 | (2ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/css/topBar.css
1:11:48 | (2ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/favicon.ico
1:12:5 | (2ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/index.html
1:12:5 | (3ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/js/searchIngredient.js
1:12:5 | (3ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/js/searchRecipes.js
1:12:13 | (1ms) 192.168.0.31 - [getFile] - /home/baptiste/Documents/cuisine/html/index.html
1:12:13 | (0ms) 192.168.0.31 - [getFile] - /home/baptiste/Documents/cuisine/html/js/topBar.js
1:12:13 | (1ms) 192.168.0.31 - [getFile] - /home/baptiste/Documents/cuisine/html/js/topBar.js
1:12:13 | (2ms) 192.168.0.31 - [getFile] - /home/baptiste/Documents/cuisine/html/js/topBar.js
1:13:42 | (7ms) 192.168.235.77 - [getFile] - /home/baptiste/Documents/cuisine/html/index.html
1:13:42 | (3ms) 192.168.235.77 - [getFile] - /home/baptiste/Documents/cuisine/html/js/topBar.js
1:13:42 | (5ms) 192.168.235.77 - [getFile] - /home/baptiste/Documents/cuisine/html/js/topBar.js
1:13:42 | (9ms) 192.168.235.77 - [getFile] - /home/baptiste/Documents/cuisine/html/js/topBar.js
1:13:42 | (2ms) 192.168.235.77 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/topBar.html
1:13:42 | (3ms) 192.168.235.77 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/topBar.html
1:13:42 | (4ms) 192.168.235.77 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/topBar.html
1:13:42 | (1ms) 192.168.235.77 - [getFile] - /home/baptiste/Documents/cuisine/html/css/topBar.css
1:13:42 | (2ms) 192.168.235.77 - [getFile] - /home/baptiste/Documents/cuisine/html/css/topBar.css
1:13:42 | (1ms) 192.168.235.77 - [getFile] - /home/baptiste/Documents/cuisine/html/css/searchRecipe.css
1:13:43 | (3ms) 192.168.235.77 - [getFile] - /home/baptiste/Documents/cuisine/html/favicon.ico
1:13:56 | (1ms) 192.168.235.97 - [getFile] - /home/baptiste/Documents/cuisine/html/index.html
1:13:57 | (1ms) 192.168.235.97 - [getFile] - /home/baptiste/Documents/cuisine/html/js/topBar.js
1:13:57 | (2ms) 192.168.235.97 - [getFile] - /home/baptiste/Documents/cuisine/html/js/topBar.js
1:13:57 | (2ms) 192.168.235.97 - [getFile] - /home/baptiste/Documents/cuisine/html/js/topBar.js
1:13:57 | (1ms) 192.168.235.97 - [getFile] - /home/baptiste/Documents/cuisine/html/favicon.ico
1:13:57 | (1ms) 192.168.235.97 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/searchIngredients.html
1:13:57 | (1ms) 192.168.235.97 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/searchRecipes.html
1:13:57 | (1ms) 192.168.235.97 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/topBar.html
1:13:57 | (1ms) 192.168.235.97 - [getFile] - /home/baptiste/Documents/cuisine/html/css/searchIngredient.css
1:13:57 | (1ms) 192.168.235.97 - [getFile] - /home/baptiste/Documents/cuisine/html/css/topBar.css
1:13:57 | (3ms) 192.168.235.97 - [getFile] - /home/baptiste/Documents/cuisine/html/css/topBar.css
1:14:0 | (1ms) 192.168.235.97 - [getFile] - /home/baptiste/Documents/cuisine/html/index.html
1:14:0 | (1ms) 192.168.235.97 - [getFile] - /home/baptiste/Documents/cuisine/html/js/topBar.js
1:14:0 | (1ms) 192.168.235.97 - [getFile] - /home/baptiste/Documents/cuisine/html/js/topBar.js
1:14:0 | (2ms) 192.168.235.97 - [getFile] - /home/baptiste/Documents/cuisine/html/js/topBar.js
1:14:0 | (0ms) 192.168.235.97 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/topBar.html
1:14:0 | (1ms) 192.168.235.97 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/topBar.html
1:14:0 | (2ms) 192.168.235.97 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/topBar.html
1:14:0 | (0ms) 192.168.235.97 - [getFile] - /home/baptiste/Documents/cuisine/html/css/searchIngredient.css
1:14:0 | (0ms) 192.168.235.97 - [getFile] - /home/baptiste/Documents/cuisine/html/css/searchRecipe.css
1:14:0 | (1ms) 192.168.235.97 - [getFile] - /home/baptiste/Documents/cuisine/html/css/topBar.css
1:14:2 | (3ms) 192.168.235.77 - [getFile] - /home/baptiste/Documents/cuisine/html/index.html
